INFO,Date,Content Length,ContentType,remotePath,filename
PAM Disk2/pa0572au/pa0572au_004_180903_141909.wav,2018-09-30 08:33:56 +0000 GMT,230400044,.wav,PAM Disk2/pa0572au/pa0572au_004_180903_141909.wav,pa0572au_004_180903_141909.wav
PAM Disk2/pa0572au/pa0572au_005_180903_142908.wav,2018-09-30 08:33:46 +0000 GMT,182579756,.wav,PAM Disk2/pa0572au/pa0572au_005_180903_142908.wav,pa0572au_005_180903_142908.wav
PAM Disk2/pa0570au/pa0570au_001_180903_074143.wav,2018-09-30 08:19:54 +0000 GMT,230400044,.wav,PAM Disk2/pa0570au/pa0570au_001_180903_074143.wav,pa0570au_001_180903_074143.wav
PAM Disk2/pa0570au/pa0570au_002_180903_075146.wav,2018-09-30 08:17:39 +0000 GMT,230400044,.wav,PAM Disk2/pa0570au/pa0570au_002_180903_075146.wav,pa0570au_002_180903_075146.wav
PAM Disk2/pa0572au/pa0572au_003_180903_140910.wav,2018-09-30 08:28:19 +0000 GMT,230400044,.wav,PAM Disk2/pa0572au/pa0572au_003_180903_140910.wav,pa0572au_003_180903_140910.wav
PAM Disk2/pa0571au/pa0571au_003_180903_110222.wav,2018-09-30 08:27:12 +0000 GMT,230400044,.wav,PAM Disk2/pa0571au/pa0571au_003_180903_110222.wav,pa0571au_003_180903_110222.wav
PAM Disk2/pa0571au/pa0571au_004_180903_111221.wav,2018-09-30 08:24:20 +0000 GMT,230400044,.wav,PAM Disk2/pa0571au/pa0571au_004_180903_111221.wav,pa0571au_004_180903_111221.wav
PAM Disk2/pa0570au/pa0570au_003_180903_080145.wav,2018-09-30 08:19:48 +0000 GMT,230400044,.wav,PAM Disk2/pa0570au/pa0570au_003_180903_080145.wav,pa0570au_003_180903_080145.wav
PAM Disk2/pa0571au/pa0571au_005_180903_112220.wav,2018-09-30 08:26:03 +0000 GMT,211764524,.wav,PAM Disk2/pa0571au/pa0571au_005_180903_112220.wav,pa0571au_005_180903_112220.wav
PAM Disk2/pa0572au/pa0572au_001_180903_134908.wav,2018-09-30 08:28:12 +0000 GMT,230400044,.wav,PAM Disk2/pa0572au/pa0572au_001_180903_134908.wav,pa0572au_001_180903_134908.wav
PAM Disk2/pa0572au/pa0572au_002_180903_135911.wav,2018-09-30 08:29:27 +0000 GMT,230400044,.wav,PAM Disk2/pa0572au/pa0572au_002_180903_135911.wav,pa0572au_002_180903_135911.wav
PAM Disk2/pa0570au/pa0570au_004_180903_081144.wav,2018-09-30 08:21:55 +0000 GMT,230400044,.wav,PAM Disk2/pa0570au/pa0570au_004_180903_081144.wav,pa0570au_004_180903_081144.wav
PAM Disk2/pa0573au/pa0573au_006_180903_173614.wav,2018-09-30 08:38:07 +0000 GMT,109618988,.wav,PAM Disk2/pa0573au/pa0573au_006_180903_173614.wav,pa0573au_006_180903_173614.wav
PAM Disk2/pa0577au/pa0577au_001_180904_043532.wav,2018-09-30 09:10:41 +0000 GMT,230400044,.wav,PAM Disk2/pa0577au/pa0577au_001_180904_043532.wav,pa0577au_001_180904_043532.wav
PAM Disk2/pa0577au/pa0577au_002_180904_044535.wav,2018-09-30 09:09:39 +0000 GMT,230400044,.wav,PAM Disk2/pa0577au/pa0577au_002_180904_044535.wav,pa0577au_002_180904_044535.wav
PAM Disk2/pa0577au/pa0577au_003_180904_045534.wav,2018-09-30 09:12:56 +0000 GMT,230400044,.wav,PAM Disk2/pa0577au/pa0577au_003_180904_045534.wav,pa0577au_003_180904_045534.wav
PAM Disk2/pa0573au/pa0573au_005_180903_172615.wav,2018-09-30 08:43:31 +0000 GMT,230400044,.wav,PAM Disk2/pa0573au/pa0573au_005_180903_172615.wav,pa0573au_005_180903_172615.wav
PAM Disk2/pa0570au/pa0570au_005_180903_082143.wav,2018-09-30 08:20:03 +0000 GMT,121523756,.wav,PAM Disk2/pa0570au/pa0570au_005_180903_082143.wav,pa0570au_005_180903_082143.wav
PAM Disk2/pa0573au/pa0573au_001_180903_164615.wav,2018-09-30 08:39:11 +0000 GMT,230400044,.wav,PAM Disk2/pa0573au/pa0573au_001_180903_164615.wav,pa0573au_001_180903_164615.wav
PAM Disk2/pa0573au/pa0573au_004_180903_171616.wav,2018-09-30 08:41:28 +0000 GMT,230400044,.wav,PAM Disk2/pa0573au/pa0573au_004_180903_171616.wav,pa0573au_004_180903_171616.wav
PAM Disk2/pa0573au/pa0573au_002_180903_165618.wav,2018-09-30 08:34:15 +0000 GMT,230400044,.wav,PAM Disk2/pa0573au/pa0573au_002_180903_165618.wav,pa0573au_002_180903_165618.wav
PAM Disk2/pa0573au/pa0573au_003_180903_170617.wav,2018-09-30 08:38:44 +0000 GMT,230400044,.wav,PAM Disk2/pa0573au/pa0573au_003_180903_170617.wav,pa0573au_003_180903_170617.wav
PAM Disk2/pa0550au/pa0550au_003_180831_174535.wav,2018-09-30 06:31:27 +0000 GMT,230400044,.wav,PAM Disk2/pa0550au/pa0550au_003_180831_174535.wav,pa0550au_003_180831_174535.wav
PAM Disk2/pa0550au/pa0550au_004_180831_175534.wav,2018-09-30 06:31:51 +0000 GMT,230400044,.wav,PAM Disk2/pa0550au/pa0550au_004_180831_175534.wav,pa0550au_004_180831_175534.wav
PAM Disk2/pa0550au/pa0550au_005_180831_180533.wav,2018-09-30 06:33:22 +0000 GMT,191412524,.wav,PAM Disk2/pa0550au/pa0550au_005_180831_180533.wav,pa0550au_005_180831_180533.wav
